Product ID,Product Name,Description,Category,Price,Tokenized_Description
1,Smartphone A,"Sleek design, 64GB storage, 12MP camera",Electronics,699.99,"['Sleek', 'design', ',', '64GB', 'storage', ',', '12MP', 'camera']"
2,Laptop B,"15.6 inch, 8GB RAM, 256GB SSD",Electronics,999.99,"['15.6', 'inch', ',', '8GB', 'RAM', ',', '256GB', 'SSD']"
3,Casual Shoes C,"Leather, size 10, brown",Fashion,79.99,"['Leather', ',', 'size', '10', ',', 'brown']"
4,Travel Mug D,"Stainless steel, 500ml",Home & Kitchen,14.99,"['Stainless', 'steel', ',', '500ml']"
5,Eau De Parfum E,"Floral scent, 100ml",Beauty,49.99,"['Floral', 'scent', ',', '100ml']"
6,Backpack F,"Polyester, 20L capacity, black",Fashion,39.99,"['Polyester', ',', '20L', 'capacity', ',', 'black']"
7,Bluetooth Speaker G,"10W output, waterproof",Electronics,59.99,"['10W', 'output', ',', 'waterproof']"
8,Sunglasses H,"UV protection, round frame",Fashion,89.99,"['UV', 'protection', ',', 'round', 'frame']"
9,Cookware Set I,"Non-stick, 5 pieces",Home & Kitchen,119.99,"['Non-stick', ',', '5', 'pieces']"
10,Wrist Watch J,"Analog, leather strap, water-resistant",Fashion,199.99,"['Analog', ',', 'leather', 'strap', ',', 'water-resistant']"
11,Running Sneakers K,"Breathable material, size 9, white",Fashion,109.99,"['Breathable', 'material', ',', 'size', '9', ',', 'white']"
12,LED Desk Lamp L,"Adjustable brightness, touch control",Home & Kitchen,24.99,"['Adjustable', 'brightness', ',', 'touch', 'control']"
13,Wireless Headphones M,"Over-ear, noise-cancelling",Electronics,129.99,"['Over-ear', ',', 'noise-cancelling']"
14,Fantasy Novel N,"Bestselling author, 400 pages",Books,19.99,"['Bestselling', 'author', ',', '400', 'pages']"
15,Organic Green Tea O,"100 bags, antioxidant-rich",Grocery,9.99,"['100', 'bags', ',', 'antioxidant-rich']"
16,Gaming Console P,"4K support, includes 2 controllers",Electronics,399.99,"['4K', 'support', ',', 'includes', '2', 'controllers']"
17,Kitchen Mixer Q,"5-speed, stainless steel attachments",Home & Kitchen,69.99,"['5-speed', ',', 'stainless', 'steel', 'attachments']"
18,Jeans R,"Slim fit, blue, size 32",Fashion,49.99,"['Slim', 'fit', ',', 'blue', ',', 'size', '32']"
19,Digital Camera S,"20MP, 5x zoom, compact",Electronics,249.99,"['20MP', ',', '5x', 'zoom', ',', 'compact']"
20,Yoga Mat T,"Eco-friendly material, 6mm thickness",Sports,29.99,"['Eco-friendly', 'material', ',', '6mm', 'thickness']"
21,Board Game U,"Strategy game, 2-6 players",Toys & Games,34.99,"['Strategy', 'game', ',', '2-6', 'players']"
22,Hair Dryer V,"Ionic, 3 heat settings",Beauty,39.99,"['Ionic', ',', '3', 'heat', 'settings']"
23,Plant Pot W,"Ceramic, 8-inch diameter, white",Home & Kitchen,14.99,"['Ceramic', ',', '8-inch', 'diameter', ',', 'white']"
24,Sci-fi Movie X,"Blu-ray, director's cut edition",Movies & TV,24.99,"['Blu-ray', ',', 'director', ""'s"", 'cut', 'edition']"
25,Acoustic Guitar Y,"Full size, spruce top",Musical Instruments,199.99,"['Full', 'size', ',', 'spruce', 'top']"
26,Chocolate Box Z,"Dark chocolate, 24 pieces",Grocery,14.99,"['Dark', 'chocolate', ',', '24', 'pieces']"
27,Hybrid Bike A1,"21-speed, aluminum frame,",Sports,299.99,"['21-speed', ',', 'aluminum', 'frame', ',']"
30,Outdoor Grill D1,"Propane, 3 burners",Others,159.99,"['Propane', ',', '3', 'burners']"
35,Sandals H1,"Leather, size 7, ",Fashion,49.99,"['Leather', ',', 'size', '7', ',']"
36,Stationery Set I1,"Notebooks, pens, and markers",Others,12.99,"['Notebooks', ',', 'pens', ',', 'and', 'markers']"
39,Pet Food K1,"For adult dogs, chicken flavor",Pets,54.99,"['For', 'adult', 'dogs', ',', 'chicken', 'flavor']"
40,Portable Charger L1,"10000mAh, 2 USB ports",Others,24.99,"['10000mAh', ',', '2', 'USB', 'ports']"
